word,frequency,start_date,end_date,rank
new,59,11/06/2020,19/06/2020,8
sign,57,11/06/2020,19/06/2020,9
whi,56,11/06/2020,19/06/2020,10
includ,54,11/06/2020,19/06/2020,11
announc,54,11/06/2020,19/06/2020,12
petit,53,11/06/2020,19/06/2020,13
work,53,11/06/2020,19/06/2020,14
countri,52,11/06/2020,19/06/2020,15
need,52,11/06/2020,19/06/2020,16
dont,52,11/06/2020,19/06/2020,17
die,51,11/06/2020,19/06/2020,18
use,50,11/06/2020,19/06/2020,19
becaus,47,11/06/2020,19/06/2020,20
peopl,156,21/06/2020,29/06/2020,1
death,147,21/06/2020,29/06/2020,2
amp,141,21/06/2020,29/06/2020,3
govern,88,21/06/2020,29/06/2020,4
like,77,21/06/2020,29/06/2020,5
think,76,21/06/2020,29/06/2020,6
die,75,21/06/2020,29/06/2020,7
need,75,21/06/2020,29/06/2020,8
dont,72,21/06/2020,29/06/2020,9
case,69,21/06/2020,29/06/2020,10
whi,67,21/06/2020,29/06/2020,11
brexit,65,21/06/2020,29/06/2020,12
time,63,21/06/2020,29/06/2020,13
countri,61,21/06/2020,29/06/2020,14
infect,57,21/06/2020,29/06/2020,15
work,56,21/06/2020,29/06/2020,16
lockdown,53,21/06/2020,29/06/2020,17
respons,52,21/06/2020,29/06/2020,18
come,50,21/06/2020,29/06/2020,19
virus,47,21/06/2020,29/06/2020,20
care,291,01/07/2020,09/07/2020,1
home,244,01/07/2020,09/07/2020,2
death,159,01/07/2020,09/07/2020,3
peopl,138,01/07/2020,09/07/2020,4
test,134,01/07/2020,09/07/2020,5
hospit,123,01/07/2020,09/07/2020,6
nhs,120,01/07/2020,09/07/2020,7
blame,120,01/07/2020,09/07/2020,8
govern,104,01/07/2020,09/07/2020,9
de,103,01/07/2020,09/07/2020,10
amp,103,01/07/2020,09/07/2020,11
staff,89,01/07/2020,09/07/2020,12
patient,84,01/07/2020,09/07/2020,13
work,75,01/07/2020,09/07/2020,14
park,64,01/07/2020,09/07/2020,15
que,63,01/07/2020,09/07/2020,16
worker,62,01/07/2020,09/07/2020,17
didnt,62,01/07/2020,09/07/2020,18
whi,62,01/07/2020,09/07/2020,19
need,62,01/07/2020,09/07/2020,20
death,251,11/07/2020,19/07/2020,1
peopl,137,11/07/2020,19/07/2020,2
amp,120,11/07/2020,19/07/2020,3
die,101,11/07/2020,19/07/2020,4
govern,86,11/07/2020,19/07/2020,5
like,80,11/07/2020,19/07/2020,6
normal,74,11/07/2020,19/07/2020,7
de,71,11/07/2020,19/07/2020,8
need,66,11/07/2020,19/07/2020,9
christma,63,11/07/2020,19/07/2020,10
time,61,11/07/2020,19/07/2020,11
work,59,11/07/2020,19/07/2020,12
plan,58,11/07/2020,19/07/2020,13
dont,58,11/07/2020,19/07/2020,14
whi,57,11/07/2020,19/07/2020,15
test,55,11/07/2020,19/07/2020,16
know,55,11/07/2020,19/07/2020,17
respons,52,11/07/2020,19/07/2020,18
nhs,52,11/07/2020,19/07/2020,19
new,52,11/07/2020,19/07/2020,20
de,141,21/07/2020,29/07/2020,1
wave,134,21/07/2020,29/07/2020,2
peopl,128,21/07/2020,29/07/2020,3
second,126,21/07/2020,29/07/2020,4
obes,123,21/07/2020,29/07/2020,5
europ,112,21/07/2020,29/07/2020,6
spain,82,21/07/2020,29/07/2020,7
death,81,21/07/2020,29/07/2020,8
