,word,frequency,start_date,end_date
385,Trumpdemocracy Democracts,1,2020-01-11,2020-01-19
386,ALS,1,2020-01-11,2020-01-19
387,the Russia Report,1,2020-01-11,2020-01-19
388,RLB,1,2020-01-11,2020-01-19
389,Ljubljana httpstcohCb76xNd1B,1,2020-01-11,2020-01-19
390,Julian Assange,1,2020-01-11,2020-01-19
391,Scots,1,2020-01-11,2020-01-19
392,the Best SuperTalented Weirdo,1,2020-01-11,2020-01-19
393,EuropeanUnion UnitedKingdom,1,2020-01-11,2020-01-19
394,UriGeller,1,2020-01-11,2020-01-19
395,Iran Royal Family,1,2020-01-11,2020-01-19
396,Ministre des Affaires,1,2020-01-11,2020-01-19
397,The Clown Aburi Accord,1,2020-01-11,2020-01-19
398,KAG2020 WINNING Boris Johnsons,1,2020-01-11,2020-01-19
399,HOL,1,2020-01-11,2020-01-19
400,PLS RT,1,2020-01-11,2020-01-19
401,Bong Ben httpstcozpxLocNfYK,1,2020-01-11,2020-01-19
402,Jess Philips,1,2020-01-11,2020-01-19
403,Naivety,1,2020-01-11,2020-01-19
404,Voice,1,2020-01-11,2020-01-19
405,HONOURS,1,2020-01-11,2020-01-19
406,Mercedes,1,2020-01-11,2020-01-19
407,Johnson International Shagger Extraordinaire,1,2020-01-11,2020-01-19
408,The International Atomic Energy Agency,1,2020-01-11,2020-01-19
409,House of Lords,1,2020-01-11,2020-01-19
410,DVLA,1,2020-01-11,2020-01-19
411,the Commons for the 5 years,1,2020-01-11,2020-01-19
412,ERC,1,2020-01-11,2020-01-19
413,Islamophobia,1,2020-01-11,2020-01-19
414,Bye Sycophantic,1,2020-01-11,2020-01-19
415,the Import and Exports of Hunting Trophies Now Sign the Petition httpstcoYjg0V4xift,1,2020-01-11,2020-01-19
416,httpstcod0cQVaD23,1,2020-01-11,2020-01-19
417,NIgel,1,2020-01-11,2020-01-19
418,DicJohnson ToryLies,1,2020-01-11,2020-01-19
419,HarlowNews,1,2020-01-11,2020-01-19
420,Brexit with Union,1,2020-01-11,2020-01-19
421,StopBrexit,1,2020-01-11,2020-01-19
422,Cause,1,2020-01-11,2020-01-19
423,UK Home Office Make,1,2020-01-11,2020-01-19
424,BMG,1,2020-01-11,2020-01-19
425,MSN,1,2020-01-11,2020-01-19
426,Imperial Masters,1,2020-01-11,2020-01-19
427,The Independent httpstco01yCe8gCMN Kind,1,2020-01-11,2020-01-19
428,Lanzarote,1,2020-01-11,2020-01-19
429,Leave,1,2020-01-11,2020-01-19
430,BorisJohnsons,1,2020-01-11,2020-01-19
431,SajidJavid,1,2020-01-11,2020-01-19
432,HSBC,1,2020-01-11,2020-01-19
433,Nicky Morgan,1,2020-01-11,2020-01-19
434,Le Prsident,1,2020-01-11,2020-01-19
435,Dunns,1,2020-01-11,2020-01-19
